시도 횟수 1~5회 보상,시도 횟수 6~10회 보상,시도 횟수 11~13회 보상,시도 횟수 14회 보상
아이템명,아이템명,아이템명,아이템명
21st 소원 종이 1개,21st 결정 주머니 1개,21st 기념 꾸러미 25개,21st 기념 꾸러미 10개
이브닝 세라핌 마법서 5개,21st 기념 꾸러미 100개,이브닝 세라핌 깃털 1개,프리즈마 스페셜 콤팩트 1개
프리즈마 프리즘 콤팩트 3개,이브닝 세라핌 마법서 2개,프리즈마 스페셜 콤팩트 2개,진심 1000% 하트 1개
진심 1000% 하트 50개,이브닝 세라핌 열쇠 2개,진심 1000% 하트 2개,선택받은 마음의 원석 10개
선택받은 마음의 원석 1000개,진심 1000% 하트 20개,선택받은 마음의 원석 50개,프리즈마 상자 3개
프리즈마 코인 꾸러미 (특) 10개,선택받은 마음의 원석 300개,프리즈마 상자 10개,프리즈마 열쇠 3개
전설의 열쇠 주머니 II 3개,프리즈마 상자 100개,프리즈마 열쇠 10개,프리즈마 코인 30개
프로페서의 마법 지팡이 5개,프리즈마 코인 꾸러미 (특) 5개,프리즈마 코인 꾸러미 (중) 1개,프리즈마 변신 포션 10개
해원의 수호 상자 1개,화려한 열쇠 주머니 II 10개,프리즈마 변신 포션 50개,사물함 열쇠 주머니 11 3개
7대 죄악의 상자 1개,프로페서 지렁이 500개,빛나는 열쇠 주머니 II 3개,프로페서 지렁이 20개
7대 주선의 상자 1개,수룡의 계보 1개,프로페서 지렁이 50개,황금 나침반 1개
승리의 기념품 스페셜 상자 1개,7대 죄악 영혼 교환권 1개,황금 나침반 3개,매지컬 샤인 1개
Lite.1 프레스티지 변경권 1개,7대 주선 기운 교환권 1개,매지컬 샤인 3개,송충이 3개
Lite.1 프라임 변경권 1개,Lite.1 레전더리 변경권 1개,송충이 10개,영혼의 독설 5개
Lite.1 레인보우 변경권 1개,Lite.1 펫 히든 변경권 1개,영혼의 독설 20개,퓨어 테라피 15개
Lite.1 골드 변경권 1개,전설의 박스 티켓 20개,마스터 코인 30개,프리즘 스타 20개
마스터 러닝 포션 1개,화려한 박스 티켓 30개,화려한 박스 티켓 9개,마스터 코인 10개
테런 낚싯대 3일,시니어 러닝 포션 1개,빛나는 박스 티켓 12개,빛나는 박스 티켓 3개
,특별한 열매 주머니 2개,주니어 러닝 포션 1개,평범한 박스 티켓 3개
,테런 낚싯대 3시간,비기너 러닝 포션 1개,꽃기사 지렁이 20개
,,작은 열매 주머니 10개,무지개 왕관 지렁이 20개
,,꽃기사 지렁이 100개,해왕강림 지렁이 20개
,,중급 지렁이 선택권 1개,선샤인 지렁이 20개
,,다이아 갯지렁이 150개,별빛 지렁이 20개
,,테런 낚싯대 1시간,승리의 지렁이 20개
,,스케일 커스텀 쿠폰 2개,다이아 갯지렁이 50개
,,염색 쿠폰 5개,테런 낚싯대 15분
,,,스케일 커스텀 쿠폰 1개
,,,염색 쿠폰 2개
